Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],,,,,,,
Arab World,ARB,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,1.610570741,1.593948814,1.210061291,1.568644511,2.104568874,,,,,,,
Arab World,ARB,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,70.00813553,73.4716914,65.52438443,67.97632495,..,,,,,,,
Arab World,ARB,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,8.62678925,12.9067748,11.1607648,9.462356484,..,,,,,,,
Arab World,ARB,Goods and services expense (% of expense),GC.XPN.GSRV.ZS,..,..,..,..,..,,,,,,,
Arab World,ARB,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..,,,,,,,
Arab World,ARB,Gross savings (current US$),NY.GNS.ICTR.CD,..,..,..,..,..,,,,,,,
Arab World,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.45814158,1.091848027,1.777407838,3.063289889,5.087542009,,,,,,,
Arab World,ARB,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,94712413500,1.01E+11,..,..,..,,,,,,,
Arab World,ARB,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,1.08E+12,3.13E+12,3.18E+12,..,..,,,,,,,
Arab World,ARB,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,..,..,..,..,..,,,,,,,
Arab World,ARB,"Population ages 15-64, total",SP.POP.1564.TO,269188279,274995997,279876708,284583116,290385100,,,,,,,
Arab World,ARB,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,..,..,..,..,..,,,,,,,
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,11311.76908,11480.70382,11482.8805,13119.40565,12906.69401,,,,,,,
East Asia & Pacific,EAS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.122260623,3.410616692,-0.544835458,5.822731448,2.631936826,,,,,,,
East Asia & Pacific,EAS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,76282.13644,73216.73098,55974.6892,65329.56448,..,,,,,,,
East Asia & Pacific,EAS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.166078411,6.246439169,6.221868863,..,..,,,,,,,
East Asia & Pacific,EAS,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,384.4239897,382.3388655,..,..,..,,,,,,,
East Asia & Pacific,EAS,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,415.1732828,417.4232828,..,..,..,,,,,,,
East Asia & Pacific,EAS,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,16.32758621,15.76551724,..,..,..,,,,,,,
East Asia & Pacific,EAS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.562374854,6.688581461,6.939516052,..,..,,,,,,,
East Asia & Pacific,EAS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.222429422,7.253499124,7.383818859,7.818550622,..,,,,,,,
East Asia & Pacific,EAS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,,,,,,,
East Asia & Pacific,EAS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,,,,,,,
East Asia & Pacific,EAS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.11396221,27.9442839,26.68369013,29.09116448,31.50233317,,,,,,,
East Asia & Pacific,EAS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.266419608,1.970742329,2.174721605,2.60838076,2.216317533,,,,,,,
East Asia & Pacific,EAS,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,1.867629278,2.160200799,1.907334526,2.132945404,2.364029306,,,,,,,
East Asia & Pacific,EAS,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,5.632126138,5.312497069,3.640580602,4.347194279,4.698488401,,,,,,,
East Asia & Pacific,EAS,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,16.92996588,16.28046834,12.48954812,14.60851733,18.82259243,,,,,,,
East Asia & Pacific,EAS,Goods and services expense (% of expense),GC.XPN.GSRV.ZS,17.77662975,16.72739089,14.87184193,12.84235071,..,,,,,,,
East Asia & Pacific,EAS,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..,,,,,,,
East Asia & Pacific,EAS,Gross savings (current US$),NY.GNS.ICTR.CD,..,..,..,..,..,,,,,,,
East Asia & Pacific,EAS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.312603433,1.703978632,0.846905537,2.477102415,5.408743755,,,,,,,
East Asia & Pacific,EAS,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,..,..,..,..,..,,,,,,,
East Asia & Pacific,EAS,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,2.17E+13,2.66E+13,3.34E+13,..,..,,,,,,,
East Asia & Pacific,EAS,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,..,..,..,..,..,,,,,,,
East Asia & Pacific,EAS,"Population ages 15-64, total",SP.POP.1564.TO,1609936140,1612118868,1613592927,1614698625,1615593036,,,,,,,
East Asia & Pacific,EAS,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,2.892592181,2.751347436,2.780118787,3.110860444,..,,,,,,,
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,35749.08806,35077.72858,34332.64496,38436.14921,37149.60859,,,,,,,
European Union,EUU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.88650516,1.723568893,-5.740846541,5.589485563,3.36084528,,,,,,,
European Union,EUU,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,32723.31965,32487.00263,27300.75655,34449.73045,..,,,,,,,
European Union,EUU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.415939469,6.101852107,5.506070436,..,..,,,,,,,
European Union,EUU,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,79.64814815,79.64814815,..,..,..,,,,,,,
European Union,EUU,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,30.2962963,30.2962963,..,..,..,,,,,,,
European Union,EUU,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,3.544444444,3.2,..,..,..,,,,,,,
European Union,EUU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.878156204,9.926570114,10.91221204,..,..,,,,,,,
European Union,EUU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.51073736,10.4025854,11.60260005,11.86148802,..,,,,,,,
European Union,EUU,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,,,,,,,
European Union,EUU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,36.72233527,36.65121956,42.46967494,41.39315308,..,,,,,,,
European Union,EUU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,49.12349316,49.28146379,46.3856055,50.39881236,55.90991121,,,,,,,
European Union,EUU,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-0.480525833,3.204604062,1.396510739,2.684256965,0.567961161,,,,,,,
European Union,EUU,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.922677127,3.22482061,1.061317314,4.759697691,2.223481796,,,,,,,
European Union,EUU,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,4.85594331,4.567820034,3.252487575,4.609772426,7.470097958,,,,,,,
European Union,EUU,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,11.45619832,10.58686249,7.342073697,10.53932411,16.55035797,,,,,,,
European Union,EUU,Goods and services expense (% of expense),GC.XPN.GSRV.ZS,8.229396663,8.064154472,7.703348141,8.140029805,..,,,,,,,
European Union,EUU,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..,,,,,,,
European Union,EUU,Gross savings (current US$),NY.GNS.ICTR.CD,..,..,..,..,..,,,,,,,
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.73860862,1.630522608,0.476498853,2.554506996,8.833698867,,,,,,,
European Union,EUU,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,3.75E+11,3.76E+11,..,..,..,,,,,,,
European Union,EUU,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,5.79E+12,..,..,..,..,,,,,,,
European Union,EUU,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,..,..,..,..,..,,,,,,,
European Union,EUU,"Population ages 15-64, total",SP.POP.1564.TO,289210989,288268343,287411729,286183380,286310136,,,,,,,
European Union,EUU,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,0,0,0,0,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,973.0335414,980.4439366,964.9163762,1043.67963,1097.051659,,,,,,,
Heavily indebted poor countries (HIPC),HPC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.972606396,1.292633895,-2.549173879,1.118336125,1.793070495,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,2251.870402,2628.862083,..,3889.374216,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.279928376,0.289113704,0.268471053,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,562.6051368,564.9735579,..,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,687.9269895,687.9269895,..,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,51.98974359,44.37435897,..,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.628508475,4.610716961,4.919361158,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.673998,7.502587552,7.710601522,7.878104057,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.8536339,23.35507439,19.564127,22.82022432,23.5579685,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.6860368,2.946038253,2.24689371,3.547060306,3.252127633,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.125238165,0.510040564,-0.012465718,0.235030118,0.316216311,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,19.9118624,18.95737125,15.47268738,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,14.93613464,16.02227461,13.27884171,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Goods and services expense (% of expense),GC.XPN.GSRV.ZS,21.38000655,21.03757324,..,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Gross savings (current US$),NY.GNS.ICTR.CD,..,..,..,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.067359961,2.744038316,3.46841178,4.259364175,9.611042639,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,11938931651,12478988024,..,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,..,..,..,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,..,..,..,..,..,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Population ages 15-64, total",SP.POP.1564.TO,427431414,441322954,455725535,470419265,485238285,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,..,..,..,..,..,,,,,,,
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,8920.943817,8713.543646,7344.060922,8413.260117,9474.467688,,,,,,,
Latin America & Caribbean,LCN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.698328042,-0.146113763,-7.204433029,6.009529781,3.070345877,,,,,,,
Latin America & Caribbean,LCN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,6374.187705,6283.616012,5262.002893,5783.075543,..,,,,,,,
Latin America & Caribbean,LCN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.55393723,2.511553647,2.21061136,..,..,,,,,,,
Latin America & Caribbean,LCN,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,526.7083273,509.2617125,..,..,..,,,,,,,
Latin America & Caribbean,LCN,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,642.1656182,617.8582938,..,..,..,,,,,,,
Latin America & Caribbean,LCN,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,37.47272727,30.56060606,..,..,..,,,,,,,
Latin America & Caribbean,LCN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.90637892,7.966224158,8.646801454,..,..,,,,,,,
Latin America & Caribbean,LCN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.527367317,6.570456235,7.76559302,8.427246679,..,,,,,,,
Latin America & Caribbean,LCN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,,,,,,,
Latin America & Caribbean,LCN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,27.75275329,27.57864524,30.89300586,27.73096865,..,,,,,,,
Latin America & Caribbean,LCN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,24.03599416,24.29677076,24.95858327,27.35093284,28.20348577,,,,,,,
Latin America & Caribbean,LCN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.332758463,3.09637246,2.520693018,3.375668328,3.965265343,,,,,,,
Latin America & Caribbean,LCN,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.531642624,0.883180785,0.255614324,1.264777543,1.326613335,,,,,,,
Latin America & Caribbean,LCN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,10.92498155,10.1149891,7.858792024,9.332249952,8.963645285,,,,,,,
Latin America & Caribbean,LCN,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,12.49733255,11.64869058,8.40333634,11.06905955,14.15746763,,,,,,,
Latin America & Caribbean,LCN,Goods and services expense (% of expense),GC.XPN.GSRV.ZS,11.37787077,10.87861208,10.77155238,13.78779216,..,,,,,,,
Latin America & Caribbean,LCN,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..,,,,,,,
Latin America & Caribbean,LCN,Gross savings (current US$),NY.GNS.ICTR.CD,..,..,..,..,..,,,,,,,
Latin America & Caribbean,LCN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.324144854,2.252121914,0.993337023,3.878054424,8.304240602,,,,,,,
Latin America & Caribbean,LCN,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,80791735174,75643090718,..,..,..,,,,,,,
Latin America & Caribbean,LCN,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,1.83E+12,2.11E+12,1.80E+12,..,..,,,,,,,
Latin America & Caribbean,LCN,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,..,..,..,..,..,,,,,,,
Latin America & Caribbean,LCN,"Population ages 15-64, total",SP.POP.1564.TO,429243275,433737832,438033959,441864539,445521531,,,,,,,
Latin America & Caribbean,LCN,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,3.75231611,3.652538295,3.273752498,3.384039697,..,,,,,,,
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,7561.201139,7444.621285,6579.370987,7694.855169,8949.396779,,,,,,,
Middle East & North Africa,MEA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.308208016,-0.514225674,-5.128152412,3.084135128,4.2305829,,,,,,,
Middle East & North Africa,MEA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,33037.8044,32670.09496,28287.8161,34622.18977,..,,,,,,,
Middle East & North Africa,MEA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.376392019,5.301363398,5.033818298,..,..,,,,,,,
Middle East & North Africa,MEA,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,431.0170565,427.1670565,..,..,..,,,,,,,
Middle East & North Africa,MEA,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,531.641315,502.199855,..,..,..,,,,,,,
Middle East & North Africa,MEA,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,21.75238095,16,..,..,..,,,,,,,
Middle East & North Africa,MEA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.51416583,5.408276675,5.919833719,..,..,,,,,,,
Middle East & North Africa,MEA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.773046379,4.793648541,5.285240173,5.545466872,..,,,,,,,
Middle East & North Africa,MEA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,,,,,,,
Middle East & North Africa,MEA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,,,,,,,
Middle East & North Africa,MEA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,43.19867163,41.21265911,35.48000293,..,..,,,,,,,
Middle East & North Africa,MEA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.726223221,1.781016647,2.045531895,2.179587835,1.976342949,,,,,,,
Middle East & North Africa,MEA,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,1.290907317,1.355840531,0.89847748,1.291953145,1.748046572,,,,,,,
Middle East & North Africa,MEA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,64.9956271,67.86221048,65.43091022,67.8931482,..,,,,,,,
Middle East & North Africa,MEA,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,8.583842842,12.86248508,10.87648553,9.477844335,..,,,,,,,
Middle East & North Africa,MEA,Goods and services expense (% of expense),GC.XPN.GSRV.ZS,..,..,..,..,..,,,,,,,
Middle East & North Africa,MEA,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..,,,,,,,
Middle East & North Africa,MEA,Gross savings (current US$),NY.GNS.ICTR.CD,..,..,..,..,..,,,,,,,
Middle East & North Africa,MEA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.945793046,1.048834037,0.672256809,1.925551357,4.995020751,,,,,,,
Middle East & North Africa,MEA,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,1.15E+11,1.22E+11,..,..,..,,,,,,,
Middle East & North Africa,MEA,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,1.42E+12,3.69E+12,4.67E+12,..,..,,,,,,,
Middle East & North Africa,MEA,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,..,..,..,..,..,,,,,,,
Middle East & North Africa,MEA,"Population ages 15-64, total",SP.POP.1564.TO,300516699,305777620,310056780,314157127,319402408,,,,,,,
Middle East & North Africa,MEA,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,..,..,..,..,..,,,,,,,
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,61174.69147,63203.37389,61461.12113,68382.93995,74164.65302,,,,,,,
North America,NAC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.298652597,1.695218648,-3.892009398,5.661635531,1.625732622,,,,,,,
North America,NAC,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,45467.2996,45607.30572,43099.26101,49244.64565,..,,,,,,,
North America,NAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.2620189,14.70979335,13.08883746,..,..,,,,,,,
North America,NAC,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,170.83335,170.83335,..,..,..,,,,,,,
North America,NAC,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,173.4375,173.4375,..,..,..,,,,,,,
North America,NAC,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,0.65,0.65,..,..,..,,,,,,,
North America,NAC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,16.19177004,16.24468365,18.38947859,..,..,,,,,,,
North America,NAC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.578337687,8.586936937,10.07349688,10.13176977,..,,,,,,,
North America,NAC,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,,,,,,,
North America,NAC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,21.91249672,22.33165548,31.89752653,30.61810952,..,,,,,,,
North America,NAC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,13.92067139,13.42908743,11.62618629,12.48614797,..,,,,,,,
North America,NAC,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.156108057,1.577592609,0.744989537,2.202923804,1.599959797,,,,,,,
North America,NAC,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,-0.305380454,0.824813813,1.465345407,1.935417785,1.844903641,,,,,,,
North America,NAC,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,15.77862648,16.31779758,14.13401536,18.05384041,23.78680246,,,,,,,
North America,NAC,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,9.046564248,8.044723548,5.334914712,7.40286161,9.311253741,,,,,,,
North America,NAC,Goods and services expense (% of expense),GC.XPN.GSRV.ZS,7.384755739,7.363755374,5.430984298,6.148648743,..,,,,,,,
North America,NAC,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..,,,,,,,
North America,NAC,Gross savings (current US$),NY.GNS.ICTR.CD,..,..,..,..,..,,,,,,,
North America,NAC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.355404485,1.88073955,0.975292014,4.046526024,7.402800487,,,,,,,
North America,NAC,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2.10E+11,2.21E+11,..,..,..,,,,,,,
North America,NAC,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,3.24E+13,3.63E+13,4.34E+13,..,..,,,,,,,
North America,NAC,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,..,..,..,..,..,,,,,,,
North America,NAC,"Population ages 15-64, total",SP.POP.1564.TO,239490001,239995754,241531776,241253585,241842028,,,,,,,
North America,NAC,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,1.535224055,1.68935854,1.388508498,1.58218814,..,,,,,,,
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1920.20841,1964.980519,1853.893087,2136.15806,2272.454739,,,,,,,
South Asia,SAS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.086180398,2.76403767,-5.721617987,7.164711027,5.503292712,,,,,,,
South Asia,SAS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,3447.408905,2720.101838,1351.631846,1511.178861,..,,,,,,,
South Asia,SAS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.516961077,1.478649886,1.337791484,..,..,,,,,,,
South Asia,SAS,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,328.0532213,310.5944713,..,..,..,,,,,,,
South Asia,SAS,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,481.033475,472.923475,..,..,..,,,,,,,
South Asia,SAS,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,11.2625,8.2625,..,..,..,,,,,,,
South Asia,SAS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.952644374,3.004730911,3.053763966,..,..,,,,,,,
South Asia,SAS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.559513084,6.596752783,7.166529662,8.737008747,..,,,,,,,
South Asia,SAS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,,,,,,,
South Asia,SAS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,15.04684336,..,..,..,..,,,,,,,
South Asia,SAS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.06184644,17.31258478,16.77804032,19.1193725,20.27774295,,,,,,,
South Asia,SAS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.376718942,1.549456018,1.975811566,1.23208537,1.255289672,,,,,,,
South Asia,SAS,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.32603221,0.360372615,0.319031721,0.433499575,0.365946834,,,,,,,
